mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
الدمام,,حي السيف,شرق,سكني,20.0,600,1500
الرياض,شمال الرياض,حي العقيق,شرق,سكني,15.0,450,3500
الرياض,شرق الرياض,حي الروضة,جنوب غربي,سكني,15.0,900,2200
الرياض,شمال الرياض,حي حطين,شرق,سكني,15.0,875,3400
الرياض,شرق الرياض,حي المونسية,4 شوارع,سكني,15.0,4516,2350
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,28.0,700,4500
الرياض,شمال الرياض,حي النرجس,شمال غربي,,15.0,900,3000
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,15.0,1600,3500
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,تجاري,35.0,1800,4400
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15.0,800,3000
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,15.0,720,3000
الرياض,شمال الرياض,حي الملقا,غرب,سكني,28.0,1904,4000
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,30.0,500,4000
الخبر,,حي اللؤلؤ,غرب,سكني,20.0,1000,780
الرياض,شمال الرياض,حي بنبان,جنوب,,20.0,850,900
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15.0,1350,4500
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15.0,903,3900
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني أو تجاري,60.0,7620,3200
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15.0,837,4000
الرياض,غرب الرياض,حي الخزامى,شمال,تجاري,36.0,1020,4000
الرياض,شمال الرياض,حي حطين,شرق,سكني,25.0,1350,3500
الرياض,شمال الرياض,حي الوادي,شمال,سكني,15.0,325,2850
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,20.0,875,4000
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15.0,500,2900
الرس,,حي الحزم,شمال,سكني,25.0,840,535
الرياض,جنوب الرياض,حي الدار البيضاء,شرق,سكني أو تجاري,40.0,2501,1300
جدة,شمال جدة,حي الشراع,شمال,سكني,15.0,380,2368
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,تجاري,85.0,6100,4000
الرياض,شمال الرياض,حي بنبان,جنوب,,15.0,750,750
الرياض,شمال الرياض,حي الوادي,شمال غربي,سكني,15.0,350,3714
الرياض,غرب الرياض,حي ظهرة نمار,غرب,سكني,20.0,1800,1500
الرس,,حي الحزم,غرب,سكني,15.0,412,716
الرياض,جنوب الرياض,حي المروة,جنوب شرقي,سكني أو تجاري,36.0,1017,1200
الرياض,شمال الرياض,حي الملقا,شمال,سكني,40.0,658,3500
الرياض,جنوب الرياض,حي عكاظ,غرب,تجاري,30.0,1105,1000
الخبر,,حي الحمرا,غرب,سكني,40.0,791,2000
الخبر,,حي الحزام الذهبي,شمال,سكني,15.0,600,3200
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني أو تجاري,30.0,810,3200
جدة,جنوب جدة,حي الغليل,شمال غربي,,30.0,2700,3750
